rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2GxrNKugF82CnoRFbQfzPf","Artemas","i like the way you kiss me","Artemas",1,1,27,"9364402"
2,"spotify:track:0AjmK0Eai4zGrLaJwPvrDp","Hozier","Too Sweet","Columbia",2,2,25,"8471406"
3,"spotify:track:6XjDF6nds4DE2BBbagZol6","FloyyMenor, Cris MJ","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",3,3,66,"7246621"
4,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,4,59,"6678149"
5,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,5,88,"6137610"
6,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",1,6,39,"5685282"
7,"spotify:track:2qSkIjg1o9h3YT9RAgYN75","Sabrina Carpenter","Espresso","Island Records",7,10,4,"4558559"
8,"spotify:track:2tudvzsrR56uom6smgOcSf","Future, Metro Boomin, Kendrick Lamar","Like That","Wilburn Holding Co./Boominati/Epic/Republic",4,9,25,"4422395"
9,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,7,214,"4420135"
10,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,8,152,"4301726"
11,"spotify:track:1aKvZDoLGkNMxoRYgkckZG","ILLIT","Magnetic","BELIFT LAB",10,11,22,"3830049"
12,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,12,435,"3776953"
13,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",2,13,191,"3751530"
14,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",6,15,189,"3429847"
15,"spotify:track:3w0w2T288dec0mgeZZqoNN","¥$, Kanye West, Ty Dolla $ign","CARNIVAL","YZY",1,16,66,"3280027"
16,"spotify:track:1bjeWoagtHmUKputLVyDxQ","SZA","Saturn","Top Dawg Entertainment/RCA Records",12,19,53,"3259368"
17,"spotify:track:7wLShogStyDeZvL0a6daN5","Beyoncé","TEXAS HOLD 'EM","Parkwood Entertainment/Columbia",1,14,64,"3197304"
18,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",2,18,210,"3185868"
19,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",7,17,133,"3156726"
20,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",3,23,218,"2896456"
21,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",11,24,649,"2822035"
22,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",17,26,37,"2816752"
23,"spotify:track:5LhI8m7n8xlQmNe3b7Rwis","Natanael Cano, Oscar Maydon","Madonna","WEA Latina",15,20,38,"2748253"
24,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",1,21,130,"2647971"
25,"spotify:track:2DbV9TSdeGr5FobCFDRzvq","Bizarrap, Natanael Cano","Natanael Cano: Bzrp Music Sessions, Vol. 59/66","DALE PLAY Records",10,25,12,"2624574"
26,"spotify:track:0dEAiKNbHt4mrjjoiL0loc","Xavi","Corazón de Piedra","Interscope Records",19,22,25,"2597851"
27,"spotify:track:28drn6tQo95MRvO0jQEo5C","Future, Metro Boomin, Travis Scott, Playboi Carti","Type Shit","Wilburn Holding Co./Boominati/Epic/Republic",5,35,25,"2589305"
28,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Lord Huron",24,29,623,"2512472"
29,"spotify:track:59xD5osEFsaNt5PXfIKUnX","Dua Lipa","Illusion","Warner Records",11,30,4,"2419181"
30,"spotify:track:7iUtQNMRB8ZkKC4AmEuCJC","Myke Towers","LA FALDA","WEA Latina",20,27,111,"2394555"
31,"spotify:track:6me7F0aaZjwDo6RJ5MrfBD","Richy Mitch & The Coal Miners","Evergreen","Richy Mitch & The Coal Miners",31,37,94,"2389727"
32,"spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","Michael Marcagi","Scared To Start","Warner Records",22,34,77,"2371457"
33,"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Sabrina Carpenter","Feather","Island Records",31,36,136,"2324482"
34,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",14,32,96,"2317959"
35,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",8,28,210,"2312539"
36,"spotify:track:7sVbKoBdhXtYCEOO6qC1SN","Future, Metro Boomin, The Weeknd","We Still Don't Trust You","Wilburn Holding Co./Boominati/Epic/Republic",19,31,4,"2293379"
37,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",6,39,95,"2252494"
38,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",13,38,234,"2215029"
39,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,33,277,"2210103"
40,"spotify:track:48lxT5qJF0yYyf2z4wB4xW","Jaxomy, Agatino Romero, Raffaella Carrà","Pedro","Columbia/B1 Recordings/Ultra Records",40,52,6,"2208326"
41,"spotify:track:5uQ7de4EWjb3rkcFxyEOpu","Mark Ambor","Belong Together","Hundred Days Records, LLC",37,51,21,"2132368"
42,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC.",3,41,186,"2130827"
43,"spotify:track:6Qb7YsAqH4wWFUMbGsCpap","Dua Lipa","Training Season","Warner Records",7,44,60,"2113265"
44,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",11,42,1097,"2107795"
45,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","The Weeknd/Lyric",1,40,1289,"2100277"
46,"spotify:track:2o1pb13quMReXZqE7jWsgq","Ariana Grande","intro (end of the world)","Republic Records",14,43,39,"2077511"
47,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",2,49,158,"2065929"
48,"spotify:track:1ACA277B6f46DYCgZW8di3","Artemas","if u think i'm pretty","Artemas",48,56,28,"2044943"
49,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",28,58,25,"2041340"
50,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",2,46,158,"2022432"
51,"spotify:track:3lMzT16MjAKKXF7pSZn13B","Lay Bankz","Tell Ur Girlfriend","Artist Partner Group",51,70,7,"2013097"
52,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",4,45,249,"1968985"
53,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,55,747,"1968113"
54,"spotify:track:7EWtB4NKYY3NqBl31PVip9","Peso Pluma, Tito Double P, Joel De La P","LA PEOPLE II","Double P Records",31,48,25,"1948597"
55,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,47,386,"1915646"
56,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",2,61,278,"1902135"
